x,exact,approx
0,1,1
0.03125,0.999043,0.999043
0.0625,0.996174,0.996174
0.09375,0.991399,0.991399
0.125,0.984727,0.984727
0.15625,0.976169,0.976169
0.1875,0.965744,0.965744
0.21875,0.953471,0.953471
0.25,0.939373,0.939373
0.28125,0.923477,0.923477
0.3125,0.905814,0.905814
0.34375,0.886417,0.886417
0.375,0.865324,0.865324
0.40625,0.842575,0.842575
0.4375,0.818213,0.818213
0.46875,0.792286,0.792286
0.5,0.764842,0.764842
0.53125,0.735935,0.735935
0.5625,0.705619,0.705619
0.59375,0.673953,0.673953
0.625,0.640997,0.640997
0.65625,0.606814,0.606814
0.6875,0.57147,0.57147
0.71875,0.535033,0.535033
0.75,0.497571,0.497571
0.78125,0.459157,0.459157
0.8125,0.419865,0.419865
0.84375,0.379769,0.379769
0.875,0.338946,0.338946
0.90625,0.297475,0.297475
0.9375,0.255434,0.255434
0.96875,0.212904,0.212904
1,0.169967,0.169967
1.03125,0.126705,0.126705
1.0625,0.0832,0.0832
1.09375,0.039536,0.039536
1.125,-0.00420366,-0.00420366
1.15625,-0.0479353,-0.0479353
1.1875,-0.0915752,-0.0915752
1.21875,-0.13504,-0.13504
1.25,-0.178246,-0.178246
1.28125,-0.221111,-0.221111
1.3125,-0.263553,-0.263553
1.34375,-0.305491,-0.305491
1.375,-0.346844,-0.346844
1.40625,-0.387533,-0.387533
1.4375,-0.42748,-0.42748
1.46875,-0.46661,-0.46661
1.5,-0.504846,-0.504846
1.53125,-0.542116,-0.542116
1.5625,-0.578349,-0.578349
1.59375,-0.613475,-0.613475
1.625,-0.647427,-0.647427
1.65625,-0.68014,-0.68014
1.6875,-0.711551,-0.711551
1.71875,-0.741601,-0.741601
1.75,-0.770231,-0.770231
1.78125,-0.797388,-0.797388
1.8125,-0.823018,-0.823018
1.84375,-0.847073,-0.847073
1.875,-0.869507,-0.869507
1.90625,-0.890277,-0.890277
1.9375,-0.909344,-0.909344
1.96875,-0.92667,-0.92667
2,-0.942222,-0.942222
2.03125,-0.955972,-0.955972
2.0625,-0.967892,-0.967892
2.09375,-0.977959,-0.977959
2.125,-0.986156,-0.986156
2.15625,-0.992464,-0.992464
2.1875,-0.996874,-0.996874
2.21875,-0.999376,-0.999376
2.25,-0.999965,-0.999965
2.28125,-0.99864,-0.99864
2.3125,-0.995404,-0.995404
2.34375,-0.990264,-0.990264
2.375,-0.983228,-0.983228
2.40625,-0.974311,-0.974311
2.4375,-0.963528,-0.963528
2.46875,-0.950902,-0.950902
2.5,-0.936457,-0.936457
2.53125,-0.920219,-0.920219
2.5625,-0.90222,-0.90222
2.59375,-0.882494,-0.882494
2.625,-0.86108,-0.86108
2.65625,-0.838017,-0.838017
2.6875,-0.813351,-0.813351
2.71875,-0.787128,-0.787128
2.75,-0.759399,-0.759399
2.78125,-0.730217,-0.730217
2.8125,-0.699637,-0.699637
2.84375,-0.667718,-0.667718
2.875,-0.634521,-0.634521
2.90625,-0.60011,-0.60011
2.9375,-0.564551,-0.564551
2.96875,-0.527911,-0.527911
3,-0.490261,-0.490261
3.03125,-0.451672,-0.451672
3.0625,-0.41222,-0.41222
3.09375,-0.371978,-0.371978
3.125,-0.331024,-0.331024
3.15625,-0.289437,-0.289437
3.1875,-0.247296,-0.247296
3.21875,-0.204682,-0.204682
3.25,-0.161676,-0.161676
3.28125,-0.118361,-0.118361
3.3125,-0.074819,-0.074819
3.34375,-0.0311339,-0.0311339
3.375,0.0126107,0.0126107
3.40625,0.0563312,0.0563312
3.4375,0.0999439,0.0999439
3.46875,0.143365,0.143365
3.5,0.186512,0.186512
3.53125,0.229302,0.229302
3.5625,0.271654,0.271654
3.59375,0.313485,0.313485
3.625,0.354717,0.354717
3.65625,0.395269,0.395269
3.6875,0.435065,0.435065
3.71875,0.474029,0.474029
3.75,0.512085,0.512085
3.78125,0.549162,0.549162
3.8125,0.585187,0.585187
3.84375,0.620093,0.620093
3.875,0.653812,0.653812
3.90625,0.686279,0.686279
3.9375,0.717433,0.717433
3.96875,0.747215,0.747215
4,0.775566,0.775566
0.015625,0.999761,0.999761
0.046875,0.997847,0.997847
0.078125,0.994025,0.994025
0.109375,0.988299,0.988299
0.140625,0.980683,0.980683
0.171875,0.971189,0.971189
0.203125,0.959837,0.959837
0.234375,0.946648,0.946648
0.265625,0.931648,0.931648
0.296875,0.914864,0.914864
